"@timestamp","log.original"
"2021-03-31 01:56:46.473","2021-03-31 03:56:46,473 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617155806473, type=ContextRefreshed, appName=webfront, appVersion=1.0.71, scmRevision=9b3bf53]"
"2021-03-31 01:56:46.010","2021-03-31 03:56:46,010 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617155806010, type=ContextRefreshed, appName=storage, appVersion=1.0.114, scmRevision=a8ed4a3]"
"2021-03-31 01:56:44.142","2021-03-31 03:56:44,142 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617155804141, type=ContextRefreshed, appName=webfront, appVersion=1.0.71, scmRevision=9b3bf53]"
"2021-03-31 01:49:05.130","2021-03-31 03:49:05,130 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617155345129, type=ContextRefreshed, appName=order, appVersion=1.0.422, scmRevision=78bc326]"
"2021-03-31 01:49:00.221","2021-03-31 03:49:00,221 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617155340219, type=ContextRefreshed, appName=order, appVersion=1.0.422, scmRevision=78bc326]"
"2021-03-31 01:48:28.849","2021-03-31 03:48:28,849 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617155308848, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-31 01:48:26.141","2021-03-31 03:48:26,141 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617155306139, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-31 01:48:17.455","2021-03-31 03:48:17,455 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617155297454, type=ContextRefreshed, appName=customer, appVersion=1.0.48, scmRevision=e1e335f]"
"2021-03-31 01:48:14.767","2021-03-31 03:48:14,767 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617155294762, type=ContextRefreshed, appName=customer, appVersion=1.0.48, scmRevision=e1e335f]"
"2021-03-31 01:47:51.790","2021-03-31 03:47:51,790 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617155271789, type=ContextRefreshed, appName=webfront, appVersion=1.0.71, scmRevision=9b3bf53]"
"2021-03-31 01:47:50.179","2021-03-31 03:47:50,179 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617155270178, type=ContextRefreshed, appName=webfront, appVersion=1.0.71, scmRevision=9b3bf53]"
"2021-03-31 01:39:52.697","2021-03-31 03:39:52,697 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617154792697, type=ContextRefreshed, appName=billing, appVersion=1.0.142, scmRevision=9c8f474]"
"2021-03-31 01:39:49.855","2021-03-31 03:39:49,855 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617154789794, type=ContextRefreshed, appName=billing, appVersion=1.0.142, scmRevision=9c8f474]"
"2021-03-31 01:39:48.859","2021-03-31 03:39:48,859 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617154788859, type=ContextRefreshed, appName=shipping, appVersion=1.0.342, scmRevision=d965b23]"
"2021-03-31 01:39:43.346","2021-03-31 03:39:43,346 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617154783345, type=ContextRefreshed, appName=shipping, appVersion=1.0.342, scmRevision=d965b23]"
"2021-03-31 01:27:14.427","2021-03-31 03:27:14,427 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617154034427, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-31 01:27:14.282","2021-03-31 03:27:14,282 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617154034282, type=ContextRefreshed, appName=storage, appVersion=1.0.114, scmRevision=a8ed4a3]"
"2021-03-31 01:27:12.151","2021-03-31 03:27:12,151 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617154032151, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-31 01:27:12.089","2021-03-31 03:27:12,089 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617154032089, type=ContextRefreshed, appName=storage, appVersion=1.0.114, scmRevision=a8ed4a3]"
"2021-03-31 01:03:29.197","2021-03-31 03:03:29,197 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617152609197, type=ContextRefreshed, appName=webfront, appVersion=1.0.71, scmRevision=9b3bf53]"
"2021-03-31 01:03:27.148","2021-03-31 03:03:27,148 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617152607147, type=ContextRefreshed, appName=webfront, appVersion=1.0.71, scmRevision=9b3bf53]"
"2021-03-31 00:56:37.131","2021-03-31 02:56:37,131 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617152197131, type=ContextRefreshed, appName=storage, appVersion=1.0.114, scmRevision=a8ed4a3]"
"2021-03-31 00:56:34.658","2021-03-31 02:56:34,658 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617152194657, type=ContextRefreshed, appName=storage, appVersion=1.0.114, scmRevision=a8ed4a3]"
"2021-03-31 00:56:19.045","2021-03-31 02:56:19,045 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617152179045, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-31 00:56:14.580","2021-03-31 02:56:14,580 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617152174565, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-31 00:51:42.849","2021-03-31 02:51:42,849 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151902848, type=ContextRefreshed, appName=shipping, appVersion=1.0.342, scmRevision=d965b23]"
"2021-03-31 00:51:36.028","2021-03-31 02:51:36,028 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151896027, type=ContextRefreshed, appName=shipping, appVersion=1.0.342, scmRevision=d965b23]"
"2021-03-31 00:51:35.536","2021-03-31 02:51:35,536 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151895536, type=ContextRefreshed, appName=order, appVersion=1.0.422, scmRevision=78bc326]"
"2021-03-31 00:51:31.273","2021-03-31 02:51:31,273 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151891271, type=ContextRefreshed, appName=order, appVersion=1.0.422, scmRevision=78bc326]"
"2021-03-31 00:50:08.867","2021-03-31 02:50:08,867 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151808867, type=ContextRefreshed, appName=order, appVersion=1.0.422, scmRevision=78bc326]"
"2021-03-31 00:50:04.463","2021-03-31 02:50:04,463 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151804461, type=ContextRefreshed, appName=order, appVersion=1.0.422, scmRevision=78bc326]"
"2021-03-31 00:50:00.883","2021-03-31 02:50:00,883 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151800883, type=ContextRefreshed, appName=billing, appVersion=1.0.142, scmRevision=9c8f474]"
"2021-03-31 00:49:58.104","2021-03-31 02:49:58,104 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151798102, type=ContextRefreshed, appName=billing, appVersion=1.0.142, scmRevision=9c8f474]"
"2021-03-31 00:49:42.849","2021-03-31 02:49:42,849 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151782848, type=ContextRefreshed, appName=shipping, appVersion=1.0.342, scmRevision=d965b23]"
"2021-03-31 00:49:36.894","2021-03-31 02:49:36,894 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151776893, type=ContextRefreshed, appName=shipping, appVersion=1.0.342, scmRevision=d965b23]"
"2021-03-31 00:49:29.633","2021-03-31 02:49:29,633 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151769632, type=ContextRefreshed, appName=customer, appVersion=1.0.48, scmRevision=e1e335f]"
"2021-03-31 00:49:26.562","2021-03-31 02:49:26,562 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151766561, type=ContextRefreshed, appName=customer, appVersion=1.0.48, scmRevision=e1e335f]"
"2021-03-31 00:40:09.820","2021-03-31 02:40:09,820 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151209819, type=ContextRefreshed, appName=webfront, appVersion=1.0.71, scmRevision=9b3bf53]"
"2021-03-31 00:40:09.003","2021-03-31 02:40:09,003 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151209002, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-31 00:40:07.324","2021-03-31 02:40:07,324 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151207323, type=ContextRefreshed, appName=webfront, appVersion=1.0.71, scmRevision=9b3bf53]"
"2021-03-31 00:40:06.606","2021-03-31 02:40:06,606 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617151206606, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-31 00:25:22.231","2021-03-31 02:25:22,231 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617150322231, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-31 00:25:21.911","2021-03-31 02:25:21,911 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617150321911, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-31 00:25:20.016","2021-03-31 02:25:20,016 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617150320016, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-31 00:25:19.214","2021-03-31 02:25:19,214 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1617150319213, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-27 11:16:54.947","2021-03-27 12:16:54,947 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1616843814946, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-27 11:16:52.674","2021-03-27 12:16:52,674 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1616843812674, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-27 11:16:49.003","2021-03-27 12:16:49,003 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1616843809003, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-27 11:16:46.694","2021-03-27 12:16:46,694 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1616843806694, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-27 09:11:55.571","2021-03-27 10:11:55,571 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1616836315571, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-27 09:11:53.641","2021-03-27 10:11:53,641 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1616836313641, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-27 09:11:50.082","2021-03-27 10:11:50,082 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1616836310082, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-27 09:11:47.905","2021-03-27 10:11:47,905 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1616836307905, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-27 09:06:30.346","2021-03-27 10:06:30,346 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1616835990346, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-27 09:06:28.168","2021-03-27 10:06:28,168 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1616835988167, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-27 09:06:24.807","2021-03-27 10:06:24,807 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1616835984806, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-27 09:06:22.303","2021-03-27 10:06:22,303 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1616835982302, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-03-27 08:52:59.258","2021-03-27 09:52:59,258 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1616835179257, type=ContextRefreshed, appName=shipping, appVersion=1.0.342, scmRevision=d965b23]"
